lat_r,lng_r,alert_count
16.982,80.005,57
17.125,79.643,57
17.23,79.009,57
17.246,78.915,57
17.016,79.886,57
17.23,79.073,57
17.23,79.013,57
17.231,79.042,57
17.211,79.17,57
17.232,78.987,57
17.211,79.169,57
17.166,79.292,57
17.05,79.841,57
17.165,79.294,57
17.238,78.946,56
17.23,78.971,56
17.124,79.644,56
17.064,79.816,56
17.232,79.11,56
17.061,79.821,56
17.111,79.668,56
17.232,78.964,56
17.053,79.833,56
17.07,79.805,56
17.231,79.101,56
17.129,79.637,56
17.233,78.986,56
17.231,79.091,56
17.238,78.947,56
17.256,78.879,56
17.156,79.428,56
17.256,78.889,56
17.229,78.975,56
17.156,79.617,56
17.16,79.316,56
17.215,79.156,56
17.256,78.882,56
16.984,80.001,56
17.167,79.34,56
17.17,79.355,56
17.163,79.411,56
16.979,80.011,56
17.247,78.913,56
17.224,79.141,56
17.159,79.441,56
17.198,79.224,56
17.251,78.901,56
17.161,79.416,56
17.256,78.89,56
17.156,79.427,56
17.257,78.875,56
17.229,78.998,56
17.24,78.94,56
17.176,79.271,56
17.318,78.655,56
17.16,79.505,56
17.171,79.363,56
17.239,78.944,56
17.25,78.903,56
17.279,78.791,56
17.155,79.611,56
17.16,79.502,55
17.233,79.113,55
16.972,80.022,55
17.264,78.835,55
17.013,79.91,55
17.23,79.074,55
17.16,79.499,55
17.012,79.908,55
17.258,78.873,55
17.208,79.18,55
17.258,78.861,55
17.23,79.072,55
17.16,79.495,55
17.23,79.07,55
16.98,80.01,55
17.1,79.749,55
17.245,78.924,55
17.197,79.228,55
17.046,79.847,55
17.107,79.729,55
17.243,78.932,55
17.154,79.61,55
17.244,78.926,55
17.148,79.605,55
17.229,78.997,55
17.245,78.921,55
17.108,79.71,55
17.021,79.875,55
17.109,79.706,55
17.157,79.422,55
17.264,78.838,55
17.228,79.135,55
17.111,79.698,55
17.111,79.699,55
17.23,79.015,55
17.198,79.205,55
17.112,79.691,55
17.166,79.337,55
17.197,79.194,54
17.098,79.756,54
17.104,79.739,54
17.161,79.485,54
16.968,80.029,54
17.231,78.965,54
17.098,79.76,54
17.208,79.183,54
17.191,79.246,54
17.163,79.532,54
17.112,79.687,54
17.162,79.324,54
17.279,78.79,54
17.163,79.517,54
17.166,79.524,54
17.109,79.705,54
17.165,79.522,54
17.082,79.791,54
17.231,79.04,54
17.258,78.859,54
17.247,78.912,54
17.23,79.011,54
17.233,79.118,54
17.159,79.312,54
17.23,79.028,54
17.246,78.919,54
17.159,79.445,54
17.157,79.459,54
17.229,79.019,54
17.16,79.501,54
17.258,78.867,54
17.23,78.969,54
17.261,78.844,54
17.294,78.745,53
17.146,79.604,53
17.161,79.415,53
17.145,79.598,53
17.231,79.105,53
17.245,78.923,53
17.197,79.203,53
17.231,79.103,53
17.168,79.343,53
17.245,78.922,53
17.195,79.234,53
17.148,79.582,53
17.108,79.708,53
17.027,79.863,53
17.034,79.856,53
17.248,78.907,53
17.158,79.448,53
17.158,79.466,53
17.2,79.213,53
17.067,79.809,53
17.011,79.896,53
17.163,79.327,53
17.012,79.895,53
17.163,79.514,53
17.258,78.858,53
17.159,79.443,53
17.258,78.853,53
17.281,78.803,53
17.12,79.651,53
17.164,79.531,53
17.251,78.9,53
17.159,79.309,53
17.165,79.409,53
17.107,79.721,52
17.152,79.568,52
17.149,79.579,52
17.229,79.024,52
17.186,79.251,52
17.209,79.175,52
17.229,79.021,52
17.178,79.264,52
17.185,79.252,52
17.231,79.057,52
17.159,79.542,52
17.17,79.286,52
17.231,79.041,52
17.229,78.976,52
17.196,79.201,52
17.23,79.033,52
17.157,79.434,52
17.227,79.137,52
17.222,79.144,52
17.112,79.678,52
17.161,79.482,52
17.179,79.26,52
17.281,78.799,52
17.016,79.927,52
17.258,78.865,52
17.258,78.863,52
17.016,79.921,52
16.961,80.039,52
17.013,79.893,52
17.022,79.873,52
17.26,78.845,52
17.28,78.795,52
17.258,78.854,52
17.231,79.099,52
16.951,80.051,52
17.265,78.832,52
17.281,78.8,52
17.257,78.877,52
17.248,78.909,52
17.231,79.104,52
16.978,80.013,52
17.098,79.758,51
17.157,79.457,51
17.111,79.7,51
17.154,79.56,51
17.035,79.856,51
17.112,79.684,51
17.165,79.334,51
17.23,79.014,51
17.171,79.376,51
17.146,79.591,51
17.026,79.865,51
17.108,79.712,51
17.231,79.044,51
17.162,79.555,51
17.158,79.558,51
17.166,79.525,51
17.157,79.433,51
16.984,80.0,51
17.166,79.293,51
17.099,79.764,51
17.256,78.884,51
17.162,79.322,51
17.199,79.22,51
17.283,78.781,51
17.169,79.348,51
17.045,79.848,51
17.164,79.331,51
17.02,79.876,51
17.087,79.785,51
17.214,79.157,51
17.016,79.923,51
17.157,79.451,51
17.155,79.56,51
17.171,79.364,50
17.171,79.36,50
17.145,79.595,50
17.23,79.081,50
16.981,80.007,50
17.23,79.08,50
17.126,79.641,50
17.08,79.793,50
17.171,79.366,50
17.015,79.917,50
17.227,79.136,50
17.161,79.508,50
17.294,78.746,50
17.156,79.426,50
17.128,79.639,50
17.161,79.49,50
17.231,79.043,50
17.244,78.928,50
17.231,79.107,50
17.112,79.683,50
17.207,79.184,50
17.09,79.781,50
17.112,79.676,50
17.209,79.177,50
17.108,79.717,50
17.318,78.656,50
17.053,79.834,50
17.241,78.937,50
17.258,78.855,50
17.184,79.253,50
17.159,79.472,50
17.258,78.874,50
17.198,79.226,50
17.032,79.858,50
17.037,79.854,50
17.152,79.565,50
17.014,79.892,50
17.16,79.497,50
17.199,79.208,50
17.231,79.059,50
16.976,80.016,50
17.255,78.892,50
17.159,79.444,50
17.015,79.889,50
17.16,79.503,49
17.212,79.166,49
17.258,78.857,49
17.196,79.199,49
17.162,79.323,49
16.953,80.047,49
17.232,79.127,49
17.161,79.506,49
17.232,78.982,49
17.177,79.267,49
17.126,79.642,49
17.231,79.086,49
17.178,79.263,49
16.977,80.015,49
17.168,79.404,49
17.161,79.509,49
17.168,79.399,49
17.088,79.784,49
17.156,79.429,49
17.199,79.207,49
17.172,79.373,49
17.294,78.743,49
16.966,80.032,49
17.158,79.464,49
17.014,79.915,49
17.21,79.174,49
17.262,78.842,49
17.258,78.87,49
17.134,79.633,49
17.098,79.755,49
17.161,79.491,49
17.146,79.59,49
17.159,79.314,49
17.098,79.761,49
