vehiclenum,total_alerts,weighted_score,mean_speed,risk_score,risk_category,alerts_in_hotspots,sum_hotspot_density,mean_hotspot_density,prop_alerts_in_hotspots
ITS08Z0251,4919,14418.0,62.20857897946737,0.0,Safe,4919,1631.2589928057553,0.3316241091290415,1.0
TS08Z0204,24726,72145.0,65.72320634150287,81.134223471539,Unsafe,24726,8116.043165467626,0.32823922856376386,1.0
TS09Z7674,34586,85568.0,51.66706181692014,100.0,Unsafe,34586,11026.438848920863,0.3188122028832725,1.0
TS15Z0171,10510,30920.0,58.730732635585156,23.193253689388616,Safe,10510,3489.0071942446043,0.3319702373210851,1.0
